year,price_usd
2026,4510.67
2025,3472.54
2024,2404.58
2023,1953.69
2022,1798.96
2021,1792.73
2020,1784.66
2019,1405.33
2018,1265.60
2017,1269.34
2016,1249.98
2015,1151.95
2014,1256.25
2013,1399.56
2012,1679.83
2011,1567.96
2010,1230.75
2009,982.65
2008,880.21
2007,704.68
2006,611.54
2005,448.98
2004,409.81
2003,367.63
2002,312.86
2001,271.13
2000,276.68
1999,280.60
1998,294.19
1997,329.33
1996,386.25
1995,383.76
1994,384.64
1993,363.95
1992,343.23
1991,358.94
1990,383.90
1989,380.12
1988,432.21
1987,451.09
1986,368.23
1985,320.83
1984,358.12
1983,419.40
1982,376.11
1981,449.58
1980,607.76
1979,320.98
1978,196.80
1977,148.95
1976,123.79
1975,160.41
1974,161.68
1973,99.95
1972,59.10
1971,40.97
1970,35.99
1969,40.84
1968,40.20
1967,35.31
