year,annual_return
2026,-0.0626
2025,0.6469
2024,0.2723
2023,0.1308
2022,-0.0023
2021,-0.0351
2020,0.2443
2019,0.1883
2018,-0.0115
2017,0.1257
2016,0.0863
2015,-0.1159
2014,-0.0019
2013,-0.2779
2012,0.0568
2011,0.1165
2010,0.2774
2009,0.2763
2008,0.0341
2007,0.3159
2006,0.2392
2005,0.1712
2004,0.0497
2003,0.2174
2002,0.2396
2001,0.0141
2000,-0.0626
1999,0.0118
1998,-0.0061
1997,-0.2174
1996,-0.0443
1995,0.0110
1994,-0.0209
1993,0.1735
1992,-0.0580
1991,-0.0962
1990,-0.0249
1989,-0.0223
1988,-0.1569
1987,0.2446
1986,0.1954
1985,0.0583
1984,-0.1900
1983,-0.1484
1982,0.1200
1981,-0.3215
1980,0.1250
1979,1.3341
1978,0.3557
1977,0.2308
1976,-0.0406
1975,-0.2520
1974,0.6704
1973,0.7349
1972,0.4874
1971,0.1637
1970,0.0616
1969,-0.1607
