ticker,entry_date,entry_price,exit_date,exit_price,shares,stop_loss,atr_at_entry,R,gross_pnl,net_pnl,pnl_r_multiple,exit_reason,holding_days,gap_adjusted_loss_multiple,entry_commission,exit_commission
CME,2004-05-27,26.023997190475463,2004-06-02,24.37959532928467,19221,24.751065819612517,0.6364656854314725,1.2729313708629455,-31607.048173948242,-31897.690409494935,-1.291822873432698,stop_loss,6,-1.291822873432698,150.06217499943864,140.5800605472542
WAT,2004-06-02,46.99695076370239,2004-06-04,45.55439847564697,10649,45.52465371109831,0.7361485263020383,1.4722970526040768,-15361.739315502135,-15657.413110917083,-0.9797970358657923,trailing_stop,2,-0.9797970358657923,150.1411586048,145.5326368101494
VLO,2004-06-02,15.726405961990356,2004-06-07,14.86628910255432,31824,14.999859108303383,0.3632734268434866,0.7265468536869726,-27372.358934692373,-27664.433513012595,-1.183842246472118,stop_loss,5,-1.183842246472118,150.14314300031432,141.93143531990663
WFC,2004-05-27,29.8047746181488,2004-06-10,29.195775381088257,16783,28.952614466222474,0.4260800759631643,0.8521601519263271,-10220.834195587116,-10517.896064778275,-0.7146535022599777,trailing_stop,14,-0.7146535022599777,150.0640597249174,146.99780946624125
EBAY,2004-05-27,18.324282844543454,2004-06-15,18.16363619041443,27297,17.424297814186126,0.4499925151786647,0.8999850303573282,-4385.171717759984,-4683.974935529158,-0.17849925133226022,trailing_stop,19,-0.17849925133226022,150.05938464225082,148.7438331269228
JBHT,2004-06-03,17.25223561096191,2004-06-15,17.4825,29038,16.244237834251674,0.5039988883551193,1.007997776710237,6686.417328888077,6383.829153086743,0.22843739773870886,trailing_stop,12,0.22843739773870886,150.2911253013336,152.2970505
BAC,2004-06-07,41.911868930816645,2004-06-15,41.558398475646975,5962,40.849210436261636,0.5313292472775051,1.0626584945550093,-2107.390853721576,-2256.685774004777,-0.3326284568192222,trailing_stop,8,-0.3326284568192222,74.96356876965866,74.33135151354217
ITW,2004-06-02,45.69565152740478,2004-06-16,45.949003932952884,10952,44.177854054992345,0.7588987362062147,1.5177974724124326,2774.7155455628645,2473.607865582313,0.16692108805888364,trailing_stop,14,0.16692108805888364,150.13763265844113,150.97004732211
ECL,2004-05-28,30.750719312667844,2004-06-18,30.169800762176514,16298,29.58184901660031,0.5844351480337677,1.168870296067535,-9467.810535907687,-9765.675326761631,-0.4969914561484974,trailing_stop,21,-0.4969914561484974,150.35256700735818,147.51222384658587
TSN,2004-05-28,20.270249999999997,2004-06-21,19.680300762176515,24724,19.348941822645802,0.46065408867709723,0.9213081773541951,-14585.904955947783,-14882.226181060998,-0.6403386535846166,trailing_stop,24,-0.6403386535846166,150.3484983,145.97272681321564
DGX,2004-06-02,43.89384847259521,2004-06-22,42.85710152435303,11402,42.507778905819336,0.6930347833879371,1.3860695667758733,-11820.988703857365,-12117.729003416925,-0.7479761283943,trailing_stop,20,-0.7479761283943,150.1432980853592,146.59700147420196
MAR,2004-06-03,23.310026088714597,2004-06-22,23.244828826904296,10745,22.502348858619065,0.4038386150477658,0.8076772300955319,-700.5445781516836,-850.6141529721812,-0.08072192626080275,trailing_stop,19,-0.08072192626080275,75.13986909697151,74.929705723526
CVS,2004-05-28,21.00598561096191,2004-06-28,20.979,23858,20.08014794387426,0.46291883354382685,0.9258376670876522,-643.8227063292962,-944.326042341195,-0.029147238140352274,trailing_stop,31,-0.029147238140352274,150.34824141189878,150.1550946
ITT,2004-06-15,14.082197669029235,2004-06-29,13.75260726070404,35544,13.659502751927995,0.21134745855062,0.4226949171012393,-11714.961473510684,-12011.769565437417,-0.7797359158834025,trailing_stop,14,-0.7797359158834025,150.16129018439256,146.6468017423393
TXT,2004-06-21,29.754725381851195,2004-06-29,28.871099618911742,17025,28.750480419078457,0.5021224813863697,1.004244962772738,-15043.728614044177,-15343.160015235575,-0.8798906598443335,trailing_stop,8,-0.8798906598443335,151.97225988780497,147.4591413035917
