ticker,category
A,S&P 500
AA,S&P MidCap 400
AAL,S&P MidCap 400
AAON,S&P MidCap 400
AAPL,S&P 500
ABBV,S&P 500
ABNB,S&P 500
ABT,S&P 500
ACGL,S&P 500
ACI,S&P MidCap 400
ACM,S&P MidCap 400
ACN,S&P 500
ADBE,S&P 500
ADC,S&P MidCap 400
ADI,S&P 500
ADM,S&P 500
ADP,S&P 500
ADSK,S&P 500
AEE,S&P 500
AEIS,S&P MidCap 400
AEP,S&P 500
AES,S&P 500
AFG,S&P MidCap 400
AFL,S&P 500
AGCO,S&P MidCap 400
AGG,ETF
AHR,S&P MidCap 400
AIG,S&P 500
AIT,S&P MidCap 400
AIZ,S&P 500
AJG,S&P 500
AKAM,S&P 500
ALB,S&P 500
ALGM,S&P MidCap 400
ALGN,S&P 500
ALK,S&P MidCap 400
ALL,S&P 500
ALLE,S&P 500
ALLY,S&P MidCap 400
ALV,S&P MidCap 400
AM,S&P MidCap 400
AMAT,S&P 500
AMCR,S&P 500
AMD,S&P 500
AME,S&P 500
AMG,S&P MidCap 400
AMGN,S&P 500
AMH,S&P MidCap 400
AMKR,S&P MidCap 400
AMP,S&P 500
AMT,S&P 500
AMZN,S&P 500
AN,S&P MidCap 400
ANET,S&P 500
ANF,S&P MidCap 400
AON,S&P 500
AOS,S&P 500
APA,S&P 500
APD,S&P 500
APG,S&P MidCap 400
APH,S&P 500
APO,S&P 500
APP,S&P 500
APPF,S&P MidCap 400
APTV,S&P 500
AR,S&P MidCap 400
ARE,S&P 500
ARES,S&P 500
ARMK,S&P MidCap 400
ARW,S&P MidCap 400
ARWR,S&P MidCap 400
ASB,S&P MidCap 400
ASH,S&P MidCap 400
ASHR,ETF
ATI,S&P MidCap 400
ATO,S&P 500
ATR,S&P MidCap 400
AVAV,S&P MidCap 400
AVB,S&P 500
AVGO,S&P 500
AVNT,S&P MidCap 400
AVT,S&P MidCap 400
AVTR,S&P MidCap 400
AVY,S&P 500
AWK,S&P 500
AXON,S&P 500
AXP,S&P 500
AXTA,S&P MidCap 400
AYI,S&P MidCap 400
AZO,S&P 500
BA,S&P 500
BAC,S&P 500
BAH,S&P MidCap 400
BALL,S&P 500
BAX,S&P 500
BBWI,S&P MidCap 400
BBY,S&P 500
BC,S&P MidCap 400
BCO,S&P MidCap 400
BDC,S&P MidCap 400
BDX,S&P 500
BEN,S&P 500
BF-B,S&P 500
BG,S&P 500
BHF,S&P MidCap 400
BIIB,S&P 500
BIL,ETF
BILL,S&P MidCap 400
BIO,S&P MidCap 400
BJ,S&P MidCap 400
BKH,S&P MidCap 400
BKLN,ETF
BKNG,S&P 500
BKR,S&P 500
BLD,S&P MidCap 400
BLDR,S&P 500
BLK,S&P 500
BLKB,S&P MidCap 400
BMRN,S&P MidCap 400
BMY,S&P 500
BND,ETF
BNY,S&P 500
BR,S&P 500
BRBR,S&P MidCap 400
BRK-B,S&P 500
BRKR,S&P MidCap 400
BRO,S&P 500
BROS,S&P MidCap 400
BRX,S&P MidCap 400
BSX,S&P 500
BSY,S&P MidCap 400
BURL,S&P MidCap 400
BWA,S&P MidCap 400
BWXT,S&P MidCap 400
BX,S&P 500
BXP,S&P 500
BYD,S&P MidCap 400
C,S&P 500
CACI,S&P MidCap 400
CAG,S&P 500
CAH,S&P 500
CAR,S&P MidCap 400
CARR,S&P 500
CART,S&P MidCap 400
CASY,S&P 500
CAT,S&P 500
CAVA,S&P MidCap 400
CB,S&P 500
CBOE,S&P 500
CBRE,S&P 500
CBSH,S&P MidCap 400
CBT,S&P MidCap 400
CCI,S&P 500
CCK,S&P MidCap 400
CCL,S&P 500
CDNS,S&P 500
CDP,S&P MidCap 400
CDW,S&P 500
CEG,S&P 500
CELH,S&P MidCap 400
CF,S&P 500
CFG,S&P 500
CFR,S&P MidCap 400
CG,S&P MidCap 400
CGNX,S&P MidCap 400
CHD,S&P 500
CHDN,S&P MidCap 400
CHE,S&P MidCap 400
CHH,S&P MidCap 400
CHRD,S&P MidCap 400
CHRW,S&P 500
CHTR,S&P 500
CHWY,S&P MidCap 400
CI,S&P 500
CIEN,S&P 500
CINF,S&P 500
CL,S&P 500
CLF,S&P MidCap 400
CLH,S&P MidCap 400
CLX,S&P 500
CMC,S&P MidCap 400
CMCSA,S&P 500
CME,S&P 500
CMG,S&P 500
CMI,S&P 500
CMS,S&P 500
CNC,S&P 500
CNH,S&P MidCap 400
CNM,S&P MidCap 400
CNO,S&P MidCap 400
CNP,S&P 500
CNX,S&P MidCap 400
CNXC,S&P MidCap 400
COF,S&P 500
COHR,S&P 500
COIN,S&P 500
COKE,S&P MidCap 400
COLB,S&P MidCap 400
COLM,S&P MidCap 400
COO,S&P 500
COP,S&P 500
